stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
10078,RDBUD,Rond Point de Budicione,,+41.943436,+08.753797,1,
20141,RDBUD1,Rond Point de Budicione,,+41.943503,+08.753828,0,10078
10079,STCEC,Sainte Cécile,,+41.942588,+08.751599,1,
20142,STCEC1,Sainte Cécile,,+41.942669,+08.751692,0,10079
10080,FINRO,Finosello Rocade,,+41.939757,+08.743561,1,
20143,FINRO1,Finosello Rocade,,+41.939836,+08.743496,0,10080
10081,CPAM,CPAM,,+41.937634,+08.739004,1,
20144,CPAM1,CPAM,,+41.937669,+08.738963,0,10081
10168,MOUL1,Moulins Blancs,,+41.937149,+08.737194,1,
20286,MOUL1,Moulins Blancs,,+41.937190,+08.737173,0,10168
10082,BRASI,Brasilia,,+41.934791,+08.736568,1,
20145,BRASI1,Brasilia,,+41.934880,+08.736478,0,10082
10083,BIANC,Biancarello,,+41.932277,+08.737499,1,
20146,BIANC1,Biancarello,,+41.932246,+08.737439,0,10083
10084,CASAL,Casalonga,,+41.919966,+08.736522,1,
20147,CASAL1,Casalonga,,+41.919966,+08.736522,0,10084
10085,CAF,CAF,,+41.920535,+08.733879,1,
20148,CAF1,CAF,,+41.920839,+08.734303,0,10085
10086,CNHOS,Centre Hospitalier,,+41.922719,+08.735264,1,
20149,CNHOS1,Centre Hospitalier,,+41.922736,+08.735162,0,10086
20150,CAF2,CAF,,+41.920231,+08.733456,0,10085
10087,KENNE,Kennedy,,+41.930388,+08.739067,1,
20151,KENNE1,Kennedy,,+41.930388,+08.739067,0,10087
10088,CASTE,Castelvecchio,,+41.930964,+08.738397,1,
20152,CASTE1,Castelvecchio,,+41.930964,+08.738397,0,10088
20153,BIANC2,Biancarello,,+41.932308,+08.737560,0,10083
20154,BRASI2,Brasilia,,+41.934702,+08.736658,0,10082
20287,MOUL2,Moulins Blancs,,+41.937108,+08.737216,0,10168
20155,CPAM2,CPAM,,+41.937600,+08.739046,0,10081
20156,FINRO2,Finosello Rocade,,+41.939678,+08.743627,0,10080
20157,STCEC2,Sainte Cécile,,+41.942507,+08.751507,0,10079
20158,RDBUD2,Rond Point de Budicione,,+41.943370,+08.753766,0,10078
10089,CREPS,CREPS Chambre des Métiers,,+41.947682,+08.757745,1,
20159,CREPS,CREPS Chambre des Métiers,,+41.947682,+08.757745,0,10089
10090,TERRO,Terra Rossa,,+41.948369,+08.754533,1,
20160,TERRO2,Terra Rossa,,+41.948369,+08.754533,0,10090
10091,PASPE,Pasci Pecura,,+41.909141,+08.698353,1,
20161,PASPE1,Pasci Pecura,,+41.909174,+08.698529,0,10091
10092,BARBI,Barbicaja,,+41.909441,+08.690577,1,
20162,BARBI1,Barbicaja,,+41.909494,+08.690502,0,10092
10093,STLIN,Santa Lina,,+41.908791,+08.686565,1,
20163,STLIN1,Santa Lina,,+41.908791,+08.686565,0,10093
10094,ARIAD,Ariadne,,+41.907884,+08.682385,1,
20164,ARIAD1,Ariadne,,+41.907913,+08.682299,0,10094
10095,NEPTU,Neptune,,+41.907747,+08.680585,1,
20165,NEPTU1,Neptune,,+41.907747,+08.680585,0,10095
10096,PALBE,Palm Beach,,+41.907583,+08.678943,1,
20166,PALBE1,Palm Beach,,+41.907583,+08.678943,0,10096
10097,MARIN,Marinella,,+41.906683,+08.676957,1,
20167,MARIN1,Marinella,,+41.906784,+08.677023,0,10097
10098,SCUDO,Scudo,,+41.905986,+08.671032,1,
20168,SCUDO1,Scudo,,+41.906078,+08.670633,0,10098
10099,MAXIM,Maxime,,+41.907188,+08.667315,1,
20169,MAXIM1,Maxime,,+41.907243,+08.667308,0,10099
10100,FONTA,Fontaine,,+41.907952,+08.663417,1,
20170,FONTA1,Fontaine,,+41.907998,+08.664244,0,10100
10101,STDMA,Stella di Mare,,+41.908002,+08.661062,1,
20171,STDMA1,Stella di Mare,,+41.908034,+08.661680,0,10101
10102,CALAN,Calanques,,+41.908089,+08.657951,1,
20172,CALAN1,Calanques,,+41.908130,+08.658022,0,10102
10103,NAUSI,Nausicaa,,+41.909542,+08.653194,1,
20173,NAUSI1,Nausicaa,,+41.909576,+08.653000,0,10103
10104,TERSA,Terre Sacrée,,+41.910608,+08.647643,1,
20174,TERSA1,Terre Sacrée,,+41.910766,+08.647550,0,10104
10105,CAPDF,Capo di Feno,,+41.910774,+08.643235,1,
20175,CAPDF1,Capo di Feno,,+41.910817,+08.643017,0,10105
10106,DOLVI,Dolce Vita,,+41.909355,+08.638265,1,
20176,DOLVI1,Dolce Vita,,+41.909323,+08.637722,0,10106
10107,EDROC,Eden Roc,,+41.908324,+08.635593,1,
20177,EDROC1,Eden Roc,,+41.908360,+08.635564,0,10107
10108,MOOPL,Moorea Plage,,+41.907622,+08.632106,1,
20178,MOOPL1,Moorea Plage,,+41.907780,+08.632414,0,10108
10109,FRATI,Frati,,+41.905689,+08.627222,1,
20179,FRATI1,Frati,,+41.905844,+08.627238,0,10109
10110,PARAT,Parata,,+41.901693,+08.619127,1,
20180,PARAT1,Parata,,+41.901693,+08.619127,0,10110
20181,FRATI2,Frati,,+41.905534,+08.627207,0,10109
20182,MOOPL2,Moorea Plage,,+41.907465,+08.631799,0,10108
20183,EDROC2,Eden Roc,,+41.908289,+08.635623,0,10107
20184,DOLVI2,Dolce Vita,,+41.909387,+08.638809,0,10106
20185,CAPDF2,Capo di Feno,,+41.910732,+08.643454,0,10105
20186,TERSA2,Terre Sacrée,,+41.910451,+08.647736,0,10104
20187,NAUSI2,Nausicaa,,+41.909509,+08.653389,0,10103
20188,CALAN2,Calanques,,+41.908048,+08.657880,0,10102
20189,STDMA2,Stella di Mare,,+41.907971,+08.660444,0,10101
20190,FONTA2,Fontaine,,+41.907907,+08.662591,0,10100
20191,MAXIM2,Maxime,,+41.907133,+08.667322,0,10099
20192,SCUDO2,Scudo,,+41.905895,+08.671431,0,10098
20193,MARIN2,Marinella,,+41.906582,+08.676892,0,10097
10111,PALBN,Palm Beach - Neptune,,+41.907612,+08.679918,1,
20194,PALBN2,Palm Beach - Neptune,,+41.907612,+08.679918,0,10111
20195,ARIAD2,Ariadne,,+41.907856,+08.682472,0,10094
20196,BARBI2,Barbicaja,,+41.909388,+08.690652,0,10092
20197,PASPE2,Pasci Pecura,,+41.909109,+08.698178,0,10091
10030,ESATB,ESAT Baléone,,+41.959827,+08.806287,1,
20053,ESATB2,ESAT Baléone,,+41.959848,+08.806387,0,10030
10029,PLNSA,Place Noel Sarrola,,+41.964592,+08.813572,1,
20054,PLNSA2,Place Noel Sarrola,,+41.964640,+08.813610,0,10029
10028,EFFRI,Effrico,,+41.967223,+08.812566,1,
20055,EFFRI2,Effrico,,+41.967270,+08.812644,0,10028
10026,GAMEZ,Gare de Mezzana,,+41.979318,+08.832908,1,
20056,GAMEZ2,Gare de Mezzana,,+41.979269,+08.832971,0,10026
10034,CAFPA,Centre AFPA,,+41.983451,+08.840605,1,
20057,CAFPA2,Centre AFPA,,+41.983451,+08.840605,0,10034
10025,STPDC,Saint Pierre de Cardo,,+41.985770,+08.841813,1,
20042,STPDC1,Saint Pierre de Cardo,,+41.985770,+08.841813,0,10025
20043,GAMEZ1,Gare de Mezzana,,+41.979367,+08.832845,0,10026
10027,ILBEA,Ile de Beauté,,+41.976453,+08.827204,1,
20044,ILBEA1,Ile de Beauté,,+41.976453,+08.827204,0,10027
20045,EFFRI1,Effrico,,+41.967176,+08.812488,0,10028
20046,PLNSA1,Place Noel Sarrola,,+41.964545,+08.813534,0,10029
20047,ESATB1,ESAT Baléone,,+41.959806,+08.806188,0,10030
10119,MARCO,Marconajo,,+41.927117,+08.739506,1,
20205,MARCO2,Marconajo,,+41.927117,+08.739506,0,10119
10143,KALLI,Kalliste,,+41.928538,+08.736715,1,
20247,KALLI1,Kalliste,,+41.928538,+08.736715,0,10143
10115,BATTE,Battesti,,+41.929262,+08.730440,1,
20201,BATTE1,Battesti,,+41.929296,+08.730309,0,10115
20209,BATTE2,Battesti,,+41.929228,+08.730572,0,10115
10169,STA2,Saint Antoine,,+41.928668,+08.733209,1,
20288,STA2,Saint Antoine,,+41.928668,+08.733209,0,10169
10121,LAVIL,La Vilette,,+41.926870,+08.735286,1,
20211,LAVIL2,La Vilette,,+41.926870,+08.735286,0,10121
10024,PTRIC,Pont du Ricanto,,+41.928620,+08.768037,1,
20040,PTRIC2,Pont du Ricanto,,+41.928499,+08.767208,0,10024
10023,INSCO,Institut Consulaire,,+41.927848,+08.775872,1,
20041,INSCO2,Institut Consulaire,,+41.927672,+08.775968,0,10023
20037,INSCO1,Institut Consulaire,,+41.928024,+08.775776,0,10023
20038,PTRIC1,Pont du Ricanto,,+41.928741,+08.768867,0,10024
20039,ASPRE1,Aspretto,,+41.929580,+08.762451,0,10022
10123,CORAZ,Corse Azur,,+41.928978,+08.757607,1,
20214,CORAZ2,Corse Azur,,+41.928896,+08.757661,0,10123
10122,HTASP,Hauts d'Aspretto,,+41.928218,+08.762109,1,
20212,HTASP1,Hauts d'Aspretto,,+41.928218,+08.762109,0,10122
10127,LORET,Loreto,,+41.931133,+08.733394,1,
20221,LORET1,Loreto,,+41.931133,+08.733394,0,10127
10114,MONCE,Moncey,,+41.929114,+08.733056,1,
20200,MONCE1,Moncey,,+41.929093,+08.733014,0,10114
20222,PLDGA3,Place de Gaulle,,+41.918221,+08.734315,0,10019
10128,GDVAL,Grandval,,+41.917705,+08.731204,1,
20223,GDVAL1,Grandval,,+41.917774,+08.731526,0,10128
10129,LECLE,Leclerc,,+41.917158,+08.727726,1,
20224,LECLE1,Leclerc,,+41.917158,+08.727726,0,10129
10130,FABIA,Fabiani,,+41.916184,+08.726468,1,
20225,FABIA1,Fabiani,,+41.916184,+08.726468,0,10130
10131,PUGCO,Puglisesi Conti,,+41.915084,+08.726998,1,
20226,PUGCO1,Puglisesi Conti,,+41.915134,+08.727066,0,10131
10132,FORCO,Forcone,,+41.914391,+08.724914,1,
20227,FORCO1,Forcone,,+41.914498,+08.724996,0,10132
10133,CASON,Casone,,+41.915493,+08.724195,1,
20228,CASON1,Casone,,+41.915477,+08.724254,0,10133
10134,BDANG,Bois des Anglais,,+41.918201,+08.725998,1,
20229,BDANG1,Bois des Anglais,,+41.918176,+08.726058,0,10134
