stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
StationEntrance:59514-IO1,,2|Palais des Sports (Parc des Expositions Hall 1),,2.287256,48.832207,,,2,stop_area:59514,,,0,
StationEntrance:59514-IO2,,1|av. Ernest Renan (Parc des Expositions Halls 2 à 8),,2.287662,48.832014,,,2,stop_area:59514,,,0,
StationEntrance:59514-IO3,,4|bd Victor,,2.288252,48.832832,,,2,stop_area:59514,,,0,
StationEntrance:59514-IO4,,3|r. de Vaugirard,,2.28861,48.832685,,,2,stop_area:59514,,,0,
StationEntrance:59515-IO0,,1|r. Bourdaloue,,2.338548,48.876173,,,2,stop_area:59515,,,0,
StationEntrance:59515-IO1,,1|r. Bourdaloue,,2.338592,48.876294,,,2,stop_area:59515,,,0,
StationEntrance:59515-IO2,,2|r. de Châteaudun,,2.336622,48.876164,,,2,stop_area:59515,,,0,
StationEntrance:59516-IO0,,0|NR,,2.328833,48.844499,,,2,stop_area:59516,,,0,
StationEntrance:59516-IO1,,0|NR,,2.328754,48.844796,,,2,stop_area:59516,,,0,
StationEntrance:59517-IO0,,0|NR,,2.360062,48.89051,,,2,stop_area:59517,,,0,
StationEntrance:59518-IO0,,1|pl. Jules Joffrin,,2.344677,48.892562,,,2,stop_area:59518,,,0,
StationEntrance:59518-IO1,,2|Mairie du 18e,,2.344024,48.892504,,,2,stop_area:59518,,,0,
StationEntrance:59519-IO0,,0|NR,,2.338639,48.889818,,,2,stop_area:59519,,,0,
StationEntrance:59520-IO0,,2|r. de Vaugirard,,2.296763,48.837245,,,2,stop_area:59520,,,0,
StationEntrance:59520-IO1,,1|r. de la Convention,,2.296422,48.837419,,,2,stop_area:59520,,,0,
StationEntrance:59521-IO0,,0|NR,,2.33863,48.884432,,,2,stop_area:59521,,,0,
